index,workerid,proliferate.condition,adjective,adjectivePair,desired,entityGender,entityName,item,listenerGender,listenerName,negation,polarity,responseHonest,responsePositive,responseState,responseValue,sentence,slide_number_in_experiment,speakerGender,speakerName,state,stimulusType,targetType,value,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
54,249,condition1,quiet,talkative-quiet,quiet,,,date,,,1,negative,1.0,0.0,0.0,0.0,"""My date wasn't quiet.""",2,F,Jane,,example1,human,flipped,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
55,249,condition1,talkative,talkative-quiet,talkative,,,date,,,0,positive,1.0,1.0,1.0,1.0,"""My date was talkative.""",3,M,Tom,,example2,human,normal,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
56,249,condition1,good,good-bad,bad,,,weather,,,1,positive,1.0,0.5,0.0,0.0,"""The weather wasn't good.""",5,M,Donald,,main_stimulus,thing,flipped,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
57,249,condition1,slow,fast-slow,slow,M,Anthony,driver,,,0,negative,1.0,1.0,1.0,0.0,"""His driving was slow.""",6,F,Emily,,main_stimulus,human,flipped,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
58,249,condition1,bad,good-bad,bad,M,Michael,presentation,,,1,negative,1.0,0.0,0.0,0.0,"""His presentation wasn't bad.""",7,F,Linda,,main_stimulus,human,flipped,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
59,249,condition1,entertaining,entertaining-boring,,,,clip,F,Emily,0,positive,0.0,1.0,0.0,1.0,"""It's entertaining.""",8,M,George,negative,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
60,249,condition1,small,big-small,big,,,succulent,,,0,negative,1.0,0.0,1.0,1.0,"""The succulent was small.""",9,F,Mary,,main_stimulus,thing,normal,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
61,249,condition1,entertaining,entertaining-boring,,,,story,F,Samantha,0,positive,0.92,1.0,1.0,1.0,"""It's entertaining.""",10,M,Mark,positive,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
62,249,condition1,gross,tasty-gross,,,,scone,F,Christina,0,negative,1.0,0.0,1.0,1.0,"""It's gross.""",11,M,Ethan,negative,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
63,249,condition1,big,big-small,big,F,Julie,party,,,0,positive,1.0,1.0,1.0,1.0,"""Her party was big.""",12,M,Gary,,main_stimulus,human,normal,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
64,249,condition1,tasty,tasty-gross,,,,cupcake,M,Paul,0,positive,0.94,0.95,1.0,1.0,"""It's tasty.""",13,F,Dora,positive,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
65,249,condition1,boring,entertaining-boring,,,,cartoon,M,Bruce,0,negative,0.0,0.0,0.0,1.0,"""It's boring.""",14,F,Caroline,positive,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
66,249,condition1,fast,fast-slow,slow,,,zebra,,,0,positive,1.0,0.0,1.0,0.0,"""The zebra was fast.""",15,F,Christina,,main_stimulus,thing,flipped,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
67,249,condition1,tasty,tasty-gross,,,,cookie,M,Nathaniel,0,positive,0.0,1.0,0.0,1.0,"""It's tasty.""",16,F,Sarah,negative,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
68,249,condition1,long,long-short,long,,,trail,,,1,positive,1.0,0.0,0.0,1.0,"""The trail wasn't long.""",17,M,Joshua,,main_stimulus,thing,normal,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
69,249,condition1,boring,entertaining-boring,,,,film,M,Eric,0,negative,1.0,0.0,1.0,1.0,"""It's boring.""",18,F,Lucy,negative,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
70,249,condition1,short,long-short,long,F,Sandra,speech,,,1,negative,1.0,1.0,0.0,1.0,"""Her speech wasn't short.""",19,M,Brian,,main_stimulus,human,normal,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
71,249,condition1,gross,tasty-gross,,,,bread,F,Penny,0,negative,0.0,0.0,0.0,1.0,"""It's gross.""",20,M,Robert,positive,control,listener,,[],53,Yes,,1,1,1,Male,English,Chrome,Windows,1200,1600,12.290583333333334,
91,280,condition1,quiet,talkative-quiet,quiet,,,date,,,1,negative,1.0,0.49,0.0,0.0,"""My date wasn't quiet.""",2,F,Jane,,example1,human,flipped,[],38,Yes,"Everything went well! I was curious about what exactly was meant by the positivity questions, but I assume that was part of the study. Thank you for the opportunity!",3,2,1,Female,English,Chrome,Mac,900,1440,5.80235,
92,280,condition1,talkative,talkative-quiet,talkative,,,date,,,0,positive,1.0,0.49,1.0,1.0,"""My date was talkative.""",3,M,Tom,,example2,human,normal,[],38,Yes,"Everything went well! I was curious about what exactly was meant by the positivity questions, but I assume that was part of the study. Thank you for the opportunity!",3,2,1,Female,English,Chrome,Mac,900,1440,5.80235,
