workerid,proliferate.condition,adjective,adjectivePair,desired,entityGender,entityName,item,listenerGender,listenerName,negation,polarity,responseHonest,responsePositive,responseState,responseValue,sentence,slide_number_in_experiment,speakerGender,speakerName,state,stimulusType,targetType,value,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
246,condition1,quiet,talkative-quiet,quiet,,,date,,,1,negative,1.0,0.0,0.22,0.0,"""My date wasn't quiet.""",2,F,Jane,,example1,human,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,talkative,talkative-quiet,talkative,,,date,,,0,positive,1.0,0.17,0.84,0.83,"""My date was talkative.""",3,M,Tom,,example2,human,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,big,big-small,big,M,Jack,party,,,0,positive,1.0,0.0,0.82,0.81,"""His party was big.""",5,F,Virginia,,main_stimulus,human,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,entertaining,entertaining-boring,,,,clip,F,Emily,0,positive,0.0,1.0,0.0,0.76,"""It's entertaining.""",6,M,George,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,short,long-short,short,,,trail,,,1,negative,1.0,0.0,0.22,0.15,"""The trail wasn't short.""",7,F,Dorothy,,main_stimulus,thing,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,good,good-bad,good,,,weather,,,0,positive,0.99,0.0,0.8,0.84,"""The weather was good.""",8,M,Paul,,main_stimulus,thing,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,fast,fast-slow,fast,F,Stephanie,driver,,,1,positive,1.0,0.05,0.21,0.79,"""Her driving wasn't fast.""",9,M,Christopher,,main_stimulus,human,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,tasty,tasty-gross,,,,cupcake,M,Paul,0,positive,0.8,0.28,1.0,1.0,"""It's tasty.""",10,F,Dora,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,boring,entertaining-boring,,,,cartoon,M,Bruce,0,negative,0.0,0.0,0.17,1.0,"""It's boring.""",11,F,Caroline,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,gross,tasty-gross,,,,scone,F,Christina,0,negative,1.0,0.0,1.0,0.79,"""It's gross.""",12,M,Ethan,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,entertaining,entertaining-boring,,,,story,F,Samantha,0,positive,1.0,0.05,0.77,0.79,"""It's entertaining.""",13,M,Mark,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,slow,fast-slow,slow,,,zebra,,,0,negative,1.0,0.17,0.87,0.18,"""The zebra was slow.""",14,M,Jerry,,main_stimulus,thing,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,tasty,tasty-gross,,,,cookie,M,Nathaniel,0,positive,0.0,1.0,0.0,0.83,"""It's tasty.""",15,F,Sarah,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,bad,good-bad,bad,M,Jason,presentation,,,0,negative,0.0,0.0,0.0,0.13,"""His presentation was bad.""",16,F,Dorothy,,main_stimulus,human,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,small,big-small,small,M,Jacob,party,,,1,negative,1.0,0.0,0.13,0.16,"""His party wasn't small.""",17,F,Cynthia,,main_stimulus,human,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,long,long-short,long,,,trail,,,1,positive,0.97,0.04,0.19,0.84,"""The trail wasn't long.""",18,F,Sharon,,main_stimulus,thing,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,boring,entertaining-boring,,,,film,M,Eric,0,negative,0.91,0.08,1.0,0.82,"""It's boring.""",19,F,Lucy,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,gross,tasty-gross,,,,bread,F,Penny,0,negative,0.0,0.0,0.14,1.0,"""It's gross.""",20,M,Robert,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
242,condition1,quiet,talkative-quiet,quiet,,,date,,,1,negative,0.6,0.3,0.44,0.04,"""My date wasn't quiet.""",2,F,Jane,,example1,human,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,talkative,talkative-quiet,talkative,,,date,,,0,positive,0.67,0.31,0.87,0.75,"""My date was talkative.""",3,M,Tom,,example2,human,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,tasty,tasty-gross,,,,cupcake,M,Paul,0,positive,0.62,0.55,0.83,0.67,"""It's tasty.""",5,F,Dora,positive,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,gross,tasty-gross,,,,bread,F,Penny,0,negative,0.1,0.14,0.16,0.4,"""It's gross.""",6,M,Robert,positive,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,small,big-small,big,,,succulent,,,0,negative,0.54,0.55,0.61,0.94,"""The succulent was small.""",7,M,Richard,,main_stimulus,thing,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,bad,good-bad,bad,,,weather,,,1,negative,0.13,0.1,0.56,0.04,"""The weather wasn't bad.""",8,F,Samantha,,main_stimulus,thing,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,boring,entertaining-boring,,,,cartoon,M,Bruce,0,negative,0.61,0.25,0.28,0.24,"""It's boring.""",9,F,Caroline,positive,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,boring,entertaining-boring,,,,film,M,Eric,0,negative,0.63,0.09,0.76,0.09,"""It's boring.""",10,F,Lucy,negative,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,long,long-short,long,M,Brian,speech,,,1,positive,0.62,0.6,0.38,0.79,"""His speech wasn't long.""",11,F,Amanda,,main_stimulus,human,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,short,long-short,short,,,trail,,,0,negative,0.52,0.54,0.72,0.17,"""The trail was short.""",12,M,Scott,,main_stimulus,thing,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,entertaining,entertaining-boring,,,,clip,F,Emily,0,positive,0.01,0.95,0.07,0.37,"""It's entertaining.""",13,M,George,negative,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,fast,fast-slow,fast,M,David,driver,,,0,positive,0.54,0.55,0.81,0.95,"""His driving was fast.""",14,F,Rebecca,,main_stimulus,human,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,gross,tasty-gross,,,,scone,F,Christina,0,negative,0.83,0.1,0.84,0.26,"""It's gross.""",15,M,Ethan,negative,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,big,big-small,big,,,succulent,,,1,positive,0.61,0.36,0.41,0.79,"""The succulent wasn't big.""",16,F,Sarah,,main_stimulus,thing,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,entertaining,entertaining-boring,,,,story,F,Samantha,0,positive,0.67,0.59,0.76,0.59,"""It's entertaining.""",17,M,Mark,positive,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,tasty,tasty-gross,,,,cookie,M,Nathaniel,0,positive,0.08,0.94,0.17,0.09,"""It's tasty.""",18,F,Sarah,negative,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,slow,fast-slow,slow,F,Jessica,driver,,,1,negative,0.64,0.28,0.45,0.15,"""Her driving wasn't slow.""",19,M,Justin,,main_stimulus,human,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,good,good-bad,bad,M,Daniel,presentation,,,0,positive,0.06,0.04,0.71,0.03,"""His presentation was good.""",20,F,Emma,,main_stimulus,human,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
216,condition1,quiet,talkative-quiet,quiet,,,date,,,1,negative,0.69,0.0,0.0,0.0,"""My date wasn't quiet.""",2,F,Jane,,example1,human,flipped,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,talkative,talkative-quiet,talkative,,,date,,,0,positive,0.68,0.5,1.0,1.0,"""My date was talkative.""",3,M,Tom,,example2,human,normal,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,entertaining,entertaining-boring,,,,story,F,Samantha,0,positive,1.0,1.0,1.0,1.0,"""It's entertaining.""",5,M,Mark,positive,control,listener,,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,boring,entertaining-boring,,,,cartoon,M,Bruce,0,negative,1.0,0.5,0.0,1.0,"""It's boring.""",6,F,Caroline,positive,control,listener,,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,tasty,tasty-gross,,,,cupcake,M,Paul,0,positive,1.0,1.0,1.0,1.0,"""It's tasty.""",7,F,Dora,positive,control,listener,,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,gross,tasty-gross,,,,scone,F,Christina,0,negative,0.64,0.63,1.0,1.0,"""It's gross.""",8,M,Ethan,negative,control,listener,,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,tasty,tasty-gross,,,,cookie,M,Nathaniel,0,positive,0.75,0.67,0.0,1.0,"""It's tasty.""",9,F,Sarah,negative,control,listener,,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,boring,entertaining-boring,,,,film,M,Eric,0,negative,1.0,0.38,1.0,1.0,"""It's boring.""",10,F,Lucy,negative,control,listener,,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,long,long-short,long,,,trail,,,1,positive,1.0,0.52,0.0,1.0,"""The trail wasn't long.""",11,M,Edward,,main_stimulus,thing,normal,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
216,condition1,small,big-small,small,,,succulent,,,1,negative,0.66,0.64,0.99,0.01,"""The succulent wasn't small.""",12,M,Brian,,main_stimulus,thing,flipped,[],55,Yes,ty,1,1,1,Female,English,Firefox,Windows,768,1366,12.944633333333334,
