workerid,proliferate.condition,adjective,adjectivePair,desired,entityGender,entityName,item,listenerGender,listenerName,negation,polarity,responseHonest,responsePositive,responseState,responseValue,sentence,slide_number_in_experiment,speakerGender,speakerName,state,stimulusType,targetType,value,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
246,condition1,quiet,talkative-quiet,quiet,,,date,,,1,negative,100,0,78,0,"""My date wasn't quiet.""",2,F,Jane,,example1,human,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,talkative,talkative-quiet,talkative,,,date,,,0,positive,100,17,84,83,"""My date was talkative.""",3,M,Tom,,example2,human,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,big,big-small,big,M,Jack,party,,,0,positive,100,0,82,81,"""His party was big.""",5,F,Virginia,,main_stimulus,human,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,entertaining,entertaining-boring,,,,clip,F,Emily,0,positive,0,100,0,76,"""It's entertaining.""",6,M,George,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,short,long-short,short,,,trail,,,1,negative,100,0,78,15,"""The trail wasn't short.""",7,F,Dorothy,,main_stimulus,thing,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,good,good-bad,good,,,weather,,,0,positive,99,0,80,84,"""The weather was good.""",8,M,Paul,,main_stimulus,thing,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,fast,fast-slow,fast,F,Stephanie,driver,,,1,positive,100,5,21,79,"""Her driving wasn't fast.""",9,M,Christopher,,main_stimulus,human,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,tasty,tasty-gross,,,,cupcake,M,Paul,0,positive,80,28,100,100,"""It's tasty.""",10,F,Dora,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,boring,entertaining-boring,,,,cartoon,M,Bruce,0,negative,0,0,83,100,"""It's boring.""",11,F,Caroline,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,gross,tasty-gross,,,,scone,F,Christina,0,negative,100,0,0,79,"""It's gross.""",12,M,Ethan,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,entertaining,entertaining-boring,,,,story,F,Samantha,0,positive,100,5,77,79,"""It's entertaining.""",13,M,Mark,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,slow,fast-slow,slow,,,zebra,,,0,negative,100,17,13,18,"""The zebra was slow.""",14,M,Jerry,,main_stimulus,thing,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,tasty,tasty-gross,,,,cookie,M,Nathaniel,0,positive,0,100,0,83,"""It's tasty.""",15,F,Sarah,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,bad,good-bad,bad,M,Jason,presentation,,,0,negative,0,0,100,13,"""His presentation was bad.""",16,F,Dorothy,,main_stimulus,human,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,small,big-small,small,M,Jacob,party,,,1,negative,100,0,87,16,"""His party wasn't small.""",17,F,Cynthia,,main_stimulus,human,flipped,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,long,long-short,long,,,trail,,,1,positive,97,4,19,84,"""The trail wasn't long.""",18,F,Sharon,,main_stimulus,thing,normal,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,boring,entertaining-boring,,,,film,M,Eric,0,negative,91,8,0,82,"""It's boring.""",19,F,Lucy,negative,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
246,condition1,gross,tasty-gross,,,,bread,F,Penny,0,negative,0,0,86,100,"""It's gross.""",20,M,Robert,positive,control,listener,,[],30,Yes,,0,1,1,Female,English,Firefox,Windows,1080,1920,6.57145,
242,condition1,quiet,talkative-quiet,quiet,,,date,,,1,negative,60,30,56,4,"""My date wasn't quiet.""",2,F,Jane,,example1,human,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,talkative,talkative-quiet,talkative,,,date,,,0,positive,67,31,87,75,"""My date was talkative.""",3,M,Tom,,example2,human,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,tasty,tasty-gross,,,,cupcake,M,Paul,0,positive,62,55,83,67,"""It's tasty.""",5,F,Dora,positive,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,gross,tasty-gross,,,,bread,F,Penny,0,negative,10,14,84,40,"""It's gross.""",6,M,Robert,positive,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,small,big-small,big,,,succulent,,,0,negative,54,55,39,94,"""The succulent was small.""",7,M,Richard,,main_stimulus,thing,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,bad,good-bad,bad,,,weather,,,1,negative,13,10,44,4,"""The weather wasn't bad.""",8,F,Samantha,,main_stimulus,thing,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,boring,entertaining-boring,,,,cartoon,M,Bruce,0,negative,61,25,72,24,"""It's boring.""",9,F,Caroline,positive,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,boring,entertaining-boring,,,,film,M,Eric,0,negative,63,9,24,9,"""It's boring.""",10,F,Lucy,negative,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,long,long-short,long,M,Brian,speech,,,1,positive,62,60,38,79,"""His speech wasn't long.""",11,F,Amanda,,main_stimulus,human,normal,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,short,long-short,short,,,trail,,,0,negative,52,54,28,17,"""The trail was short.""",12,M,Scott,,main_stimulus,thing,flipped,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
242,condition1,entertaining,entertaining-boring,,,,clip,F,Emily,0,positive,1,95,7,37,"""It's entertaining.""",13,M,George,negative,control,listener,,[],26,Yes,,4,0,1,Male,English,Firefox,Windows,864,1536,39.5083,
